server_id,window_start,window_end,max_net_in,max_disk_io,alert
server_1,20:53:00,20:53:30,7526.98,3476.91,Network flood + Disk thrash suspected
server_1,20:53:10,20:53:40,7526.98,3761.91,Network flood + Disk thrash suspected
server_1,20:53:20,20:53:50,18678.53,3761.91,Network flood + Disk thrash suspected
server_1,20:53:30,20:54:00,18678.53,3761.91,Network flood + Disk thrash suspected
server_1,20:53:40,20:54:10,18678.53,159.42,Possible DDoS
server_1,20:53:50,20:54:20,891.36,127.32,
server_1,20:54:00,20:54:30,923.76,140.69,
server_1,20:54:10,20:54:40,923.76,4198.33,Disk thrash suspected
server_1,20:54:20,20:54:50,13902.98,4198.33,Network flood + Disk thrash suspected
server_1,20:54:30,20:55:00,13902.98,4198.33,Network flood + Disk thrash suspected
server_1,20:54:40,20:55:10,13902.98,118.72,Possible DDoS
server_1,20:54:50,20:55:20,385.56,102.29,
server_1,20:55:00,20:55:30,928.67,74.22,
server_1,20:55:10,20:55:40,16095.05,145.41,Possible DDoS
server_1,20:55:20,20:55:50,16095.05,7312.67,Network flood + Disk thrash suspected
server_1,20:55:30,20:56:00,16095.05,7312.67,Network flood + Disk thrash suspected
server_1,20:55:40,20:56:10,9740.9,7312.67,Network flood + Disk thrash suspected
server_1,20:55:50,20:56:20,9740.9,130.28,Possible DDoS
server_1,20:56:00,20:56:30,9740.9,1917.35,Possible DDoS
server_1,20:56:10,20:56:40,2007.81,1917.35,
server_1,20:56:20,20:56:50,4284.76,1917.35,Possible DDoS
server_1,20:56:30,20:57:00,4284.76,981.73,Possible DDoS
server_1,20:56:40,20:57:10,4284.76,9973.88,Network flood + Disk thrash suspected
server_1,20:56:50,20:57:20,537.0,9973.88,Disk thrash suspected
server_1,20:57:00,20:57:30,2246.98,9973.88,Disk thrash suspected
server_1,20:57:10,20:57:40,2246.98,1465.32,
server_1,20:57:20,20:57:50,14150.21,1465.32,Possible DDoS
server_1,20:57:30,20:58:00,14150.21,171.81,Possible DDoS
server_1,20:57:40,20:58:10,14150.21,211.57,Possible DDoS
server_1,20:57:50,20:58:20,7813.25,1887.11,Possible DDoS
server_1,20:58:00,20:58:30,4629.39,1887.11,Possible DDoS
server_1,20:58:10,20:58:40,15844.14,1887.11,Possible DDoS
server_1,20:58:20,20:58:50,15844.14,3664.44,Network flood + Disk thrash suspected
server_1,20:58:30,20:59:00,15844.14,3664.44,Network flood + Disk thrash suspected
server_1,20:58:40,20:59:10,902.89,3664.44,Disk thrash suspected
server_1,20:58:50,20:59:20,902.89,164.81,
server_1,20:59:00,20:59:30,2686.94,6298.87,Disk thrash suspected
server_1,20:59:10,20:59:40,2686.94,6298.87,Disk thrash suspected
server_1,20:59:20,20:59:50,4093.05,6298.87,Network flood + Disk thrash suspected
server_1,20:59:30,21:00:00,4093.05,1334.81,Possible DDoS
server_1,20:59:40,21:00:10,4093.05,1334.81,Possible DDoS
server_1,20:59:50,21:00:20,877.49,78.6,
server_1,21:00:00,21:00:30,877.49,6935.35,Disk thrash suspected
server_1,21:00:10,21:00:40,877.49,6935.35,Disk thrash suspected
server_1,21:00:20,21:00:50,873.89,6935.35,Disk thrash suspected
server_1,21:00:30,21:01:00,875.65,6114.23,Disk thrash suspected
server_1,21:00:40,21:01:10,2339.53,6801.89,Disk thrash suspected
server_1,21:00:50,21:01:20,2339.53,6801.89,Disk thrash suspected
server_1,21:01:00,21:01:30,2339.53,6801.89,Disk thrash suspected
server_1,21:01:10,21:01:40,950.1,6557.66,Disk thrash suspected
server_1,21:01:20,21:01:50,426.55,6557.66,Disk thrash suspected
