ts,server_id,mem_pct
20:53:00,server_1,25.49
20:53:00,server_20,99.47
20:53:00,server_19,85.61
20:53:00,server_18,37.89
20:53:00,server_17,23.11
20:53:00,server_16,83.67
20:53:00,server_14,90.43
20:53:00,server_13,8.55
20:53:00,server_12,40.1
20:53:00,server_11,54.63
20:53:00,server_15,80.74
20:53:00,server_9,26.95
20:53:00,server_8,87.72
20:53:00,server_7,21.18
20:53:00,server_6,27.76
20:53:00,server_5,47.03
20:53:00,server_4,93.92
20:53:00,server_3,57.97
20:53:00,server_2,88.09
20:53:00,server_10,86.48
20:53:05,server_13,42.62
20:53:05,server_14,6.79
20:53:05,server_15,43.65
20:53:05,server_16,53.54
20:53:05,server_20,34.26
20:53:05,server_18,47.59
20:53:05,server_19,30.73
20:53:05,server_12,58.51
20:53:05,server_17,48.25
20:53:05,server_11,68.79
20:53:05,server_5,66.45
20:53:05,server_9,55.13
20:53:05,server_10,33.24
20:53:05,server_2,28.57
20:53:05,server_3,40.09
20:53:05,server_4,17.32
20:53:05,server_1,7.95
20:53:05,server_6,90.4
20:53:05,server_7,31.85
20:53:05,server_8,28.33
20:53:10,server_20,92.14
20:53:10,server_19,23.89
20:53:10,server_18,96.93
20:53:10,server_17,82.39
20:53:10,server_16,63.29
20:53:10,server_14,13.89
20:53:10,server_13,26.61
20:53:10,server_12,47.78
20:53:10,server_11,38.13
20:53:10,server_15,47.12
20:53:10,server_9,87.85
20:53:10,server_2,93.16
20:53:10,server_3,87.73
20:53:10,server_4,51.04
20:53:10,server_5,95.49
20:53:10,server_1,47.6
20:53:10,server_6,35.11
20:53:10,server_7,2.95
20:53:10,server_8,88.06
20:53:10,server_10,83.62
20:53:15,server_12,44.12
20:53:15,server_19,25.03
20:53:15,server_18,56.78
20:53:15,server_17,51.46
20:53:15,server_16,17.54
20:53:15,server_15,31.94
20:53:15,server_14,33.64
20:53:15,server_13,20.54
20:53:15,server_11,96.86
20:53:15,server_20,38.19
20:53:15,server_9,58.72
20:53:15,server_1,23.64
20:53:15,server_2,57.69
20:53:15,server_3,94.02
20:53:15,server_4,1.75
20:53:15,server_10,84.46
20:53:15,server_6,95.4
20:53:15,server_7,4.76
20:53:15,server_8,83.1
20:53:15,server_5,92.05
20:53:20,server_11,92.08
20:53:20,server_19,94.64
20:53:20,server_18,35.44
20:53:20,server_17,42.13
20:53:20,server_16,97.41
20:53:20,server_15,32.44
20:53:20,server_14,38.17
20:53:20,server_13,63.05
20:53:20,server_12,47.33
20:53:20,server_20,88.25
20:53:20,server_10,96.73
20:53:20,server_8,84.53
20:53:20,server_7,66.93
20:53:20,server_6,84.71
20:53:20,server_5,89.38
20:53:20,server_4,72.03
20:53:20,server_3,68.29
20:53:20,server_2,33.2
20:53:20,server_1,42.28
20:53:20,server_9,22.59
20:53:25,server_13,49.77
20:53:25,server_14,35.53
20:53:25,server_16,24.02
20:53:25,server_12,57.26
20:53:25,server_18,36.71
20:53:25,server_19,22.98
20:53:25,server_20,15.51
20:53:25,server_17,50.35
20:53:25,server_11,21.05
20:53:25,server_15,51.55
20:53:25,server_9,48.42
20:53:25,server_1,55.7
20:53:25,server_2,66.16
20:53:25,server_3,93.17
20:53:25,server_4,98.81
20:53:25,server_10,57.21
20:53:25,server_6,42.95
20:53:25,server_7,60.55
20:53:25,server_8,41.72
20:53:25,server_5,88.68
20:53:30,server_20,51.81
20:53:30,server_19,44.3
20:53:30,server_18,45.77
20:53:30,server_17,72.85
20:53:30,server_16,25.68
20:53:30,server_15,61.24
20:53:30,server_14,3.32
20:53:30,server_12,52.11
20:53:30,server_11,17.35
20:53:30,server_13,50.04
20:53:30,server_9,15.16
20:53:30,server_8,59.67
20:53:30,server_7,87.72
20:53:30,server_6,48.07
20:53:30,server_5,41.15
20:53:30,server_4,83.03
20:53:30,server_3,3.28
20:53:30,server_2,81.01
20:53:30,server_10,41.77
20:53:30,server_1,48.01
20:53:35,server_13,31.35
20:53:35,server_14,42.25
20:53:35,server_15,43.45
20:53:35,server_16,54.5
20:53:35,server_20,54.65
20:53:35,server_18,5.26
20:53:35,server_19,60.73
20:53:35,server_12,64.17
20:53:35,server_17,94.09
20:53:35,server_11,88.91
20:53:35,server_3,34.79
20:53:35,server_9,67.66
20:53:35,server_8,51.32
20:53:35,server_7,88.91
20:53:35,server_6,29.78
20:53:35,server_5,32.86
20:53:35,server_4,25.48
20:53:35,server_2,47.92
20:53:35,server_1,48.45
20:53:35,server_10,66.15
20:53:40,server_12,97.22
20:53:40,server_13,89.09
20:53:40,server_14,44.47
20:53:40,server_15,73.78
20:53:40,server_19,47.87
20:53:40,server_17,65.75
20:53:40,server_18,24.23
20:53:40,server_11,34.61
20:53:40,server_16,43.64
20:53:40,server_20,48.3
20:53:40,server_10,48.02
20:53:40,server_8,78.7
20:53:40,server_1,16.26
20:53:40,server_2,46.45
20:53:40,server_3,52.3
20:53:40,server_9,54.97
20:53:40,server_5,46.13
20:53:40,server_6,27.88
20:53:40,server_7,28.4
20:53:40,server_4,26.27
20:53:45,server_13,36.84
20:53:45,server_20,38.77
20:53:45,server_19,46.68
20:53:45,server_18,88.07
20:53:45,server_17,91.19
20:53:45,server_16,19.99
20:53:45,server_15,31.4
20:53:45,server_14,72.65
20:53:45,server_12,52.21
20:53:45,server_11,37.69
20:53:45,server_1,30.31
20:53:45,server_9,45.35
20:53:45,server_8,9.68
20:53:45,server_7,51.55
20:53:45,server_6,56.2
