ts,server_id,cpu_pct
20:53:00,server_1,88.3
20:53:00,server_20,91.25
20:53:00,server_19,9.87
20:53:00,server_18,63.08
20:53:00,server_17,46.97
20:53:00,server_16,53.2
20:53:00,server_14,27.16
20:53:00,server_13,93.96
20:53:00,server_12,49.48
20:53:00,server_11,39.83
20:53:00,server_15,16.66
20:53:00,server_9,44.72
20:53:00,server_8,97.46
20:53:00,server_7,20.18
20:53:00,server_6,28.36
20:53:00,server_5,32.11
20:53:00,server_4,92.21
20:53:00,server_3,57.55
20:53:00,server_2,18.6
20:53:00,server_10,69.58
20:53:05,server_13,65.36
20:53:05,server_14,22.5
20:53:05,server_15,51.25
20:53:05,server_16,53.79
20:53:05,server_20,24.52
20:53:05,server_18,56.23
20:53:05,server_19,49.12
20:53:05,server_12,68.94
20:53:05,server_17,47.46
20:53:05,server_11,42.32
20:53:05,server_5,61.4
20:53:05,server_9,66.6
20:53:05,server_10,65.36
20:53:05,server_2,27.77
20:53:05,server_3,39.07
20:53:05,server_4,25.66
20:53:05,server_1,92.02
20:53:05,server_6,14.73
20:53:05,server_7,76.62
20:53:05,server_8,33.15
20:53:10,server_20,29.8
20:53:10,server_19,45.93
20:53:10,server_18,23.88
20:53:10,server_17,68.24
20:53:10,server_16,58.65
20:53:10,server_14,28.43
20:53:10,server_13,83.81
20:53:10,server_12,58.09
20:53:10,server_11,43.89
20:53:10,server_15,24.01
20:53:10,server_9,96.96
20:53:10,server_2,92.21
20:53:10,server_3,6.03
20:53:10,server_4,59.31
20:53:10,server_5,88.66
20:53:10,server_1,45.43
20:53:10,server_6,75.38
20:53:10,server_7,82.04
20:53:10,server_8,20.34
20:53:10,server_10,88.1
20:53:15,server_12,57.66
20:53:15,server_19,98.2
20:53:15,server_18,36.45
20:53:15,server_17,24.33
20:53:15,server_16,90.31
20:53:15,server_15,31.42
20:53:15,server_14,30.1
20:53:15,server_13,49.13
20:53:15,server_11,8.28
20:53:15,server_20,34.12
20:53:15,server_9,44.62
20:53:15,server_1,23.72
20:53:15,server_2,44.75
20:53:15,server_3,94.75
20:53:15,server_4,91.72
20:53:15,server_10,67.75
20:53:15,server_6,90.04
20:53:15,server_7,95.37
20:53:15,server_8,67.88
20:53:15,server_5,98.07
20:53:20,server_11,93.68
20:53:20,server_19,99.66
20:53:20,server_18,27.22
20:53:20,server_17,49.83
20:53:20,server_16,93.53
20:53:20,server_15,36.73
20:53:20,server_14,70.12
20:53:20,server_13,41.17
20:53:20,server_12,62.55
20:53:20,server_20,11.95
20:53:20,server_10,9.04
20:53:20,server_8,14.61
20:53:20,server_7,57.76
20:53:20,server_6,14.84
20:53:20,server_5,85.36
20:53:20,server_4,69.14
20:53:20,server_3,55.56
20:53:20,server_2,72.88
20:53:20,server_1,62.43
20:53:20,server_9,39.69
20:53:25,server_13,68.28
20:53:25,server_14,24.22
20:53:25,server_16,43.43
20:53:25,server_12,79.71
20:53:25,server_18,27.76
20:53:25,server_19,26.8
20:53:25,server_20,20.33
20:53:25,server_17,52.6
20:53:25,server_11,25.39
20:53:25,server_15,54.15
20:53:25,server_9,31.9
20:53:25,server_1,57.22
20:53:25,server_2,56.97
20:53:25,server_3,23.25
20:53:25,server_4,27.36
20:53:25,server_10,52.08
20:53:25,server_6,45.62
20:53:25,server_7,53.43
20:53:25,server_8,68.13
20:53:25,server_5,98.2
20:53:30,server_20,79.69
20:53:30,server_19,45.0
20:53:30,server_18,24.46
20:53:30,server_17,63.81
20:53:30,server_16,22.5
20:53:30,server_15,62.51
20:53:30,server_14,97.75
20:53:30,server_12,49.37
20:53:30,server_11,27.71
20:53:30,server_13,49.22
20:53:30,server_9,20.54
20:53:30,server_8,55.89
20:53:30,server_7,95.85
20:53:30,server_6,47.14
20:53:30,server_5,20.07
20:53:30,server_4,95.67
20:53:30,server_3,82.13
20:53:30,server_2,88.99
20:53:30,server_10,40.66
20:53:30,server_1,28.56
20:53:35,server_13,33.82
20:53:35,server_14,55.36
20:53:35,server_15,61.96
20:53:35,server_16,49.52
20:53:35,server_20,66.74
20:53:35,server_18,26.34
20:53:35,server_19,42.65
20:53:35,server_12,65.82
20:53:35,server_17,93.93
20:53:35,server_11,96.48
20:53:35,server_3,38.94
20:53:35,server_9,65.72
20:53:35,server_8,79.92
20:53:35,server_7,24.29
20:53:35,server_6,84.35
20:53:35,server_5,33.22
20:53:35,server_4,38.72
20:53:35,server_2,45.43
20:53:35,server_1,21.77
20:53:35,server_10,42.17
20:53:40,server_12,87.09
20:53:40,server_13,90.24
20:53:40,server_14,64.73
20:53:40,server_15,62.61
20:53:40,server_19,44.49
20:53:40,server_17,68.53
20:53:40,server_18,23.02
20:53:40,server_11,25.48
20:53:40,server_16,38.1
20:53:40,server_20,53.81
20:53:40,server_10,60.76
20:53:40,server_8,67.17
20:53:40,server_1,97.23
20:53:40,server_2,31.14
20:53:40,server_3,37.12
20:53:40,server_9,46.76
20:53:40,server_5,69.31
20:53:40,server_6,87.48
20:53:40,server_7,29.82
20:53:40,server_4,90.65
20:53:45,server_13,24.48
20:53:45,server_20,37.21
20:53:45,server_19,40.01
20:53:45,server_18,88.01
20:53:45,server_17,88.14
20:53:45,server_16,99.37
20:53:45,server_15,37.63
20:53:45,server_14,69.4
20:53:45,server_12,58.07
20:53:45,server_11,62.65
20:53:45,server_1,66.12
20:53:45,server_9,41.63
20:53:45,server_8,82.02
20:53:45,server_7,48.97
20:53:45,server_6,57.97
20:53:45,server_5,99.81
20:53:45,server_4,29.07
20:53:45,server_3,98.5
20:53:45,server_2,87.5
20:53:45,server_10,55.16
20:53:50,server_13,50.21
20:53:50,server_14,94.1
20:53:50,server_15,43.57
20:53:50,server_16,34.05
20:53:50,server_12,35.97
20:53:50,server_18,76.13
20:53:50,server_19,18.64
20:53:50,server_20,40.46
20:53:50,server_17,30.39
20:53:50,server_11,96.44
20:53:50,server_1,83.98
